Ratings,Reviews
5,Awesome classy phone everything is good ...value for money... But camera needs to more improve by updateREAD MORE
5,Im having a great experience with this better charging progress and Long life battery and a amazing camera performance i personally loved this mobile phone and also a best gaming experience i hope u also like this phone #poco x 4 pro 5gREAD MORE
4,1.Fast delivery by Flipkart 2.Delivery personal's behaviour was very good 3.Lookwise awesome 4. Display quality 👌5. Camera is also good but for clear picture we have to use 64 mp camera only which gives me a dslr photography like feeling6. Quick charging and battery backup is also good after use for 3 to 4 hours my battery consumption is as follows : 92% to 84% after use for 4 hours This is my review after a half day of use may be give another review after 1 month of use😊😊😊😊😊😊😊READ MORE
3,"Specifications are only great on papers, 64mp camera doesn't fill like 64mp at all ... Work like 12mp camera. Performance is just OK, display also just above average and doesn't fill like 120hz refresh rate. Very average phone for this price. So OK you can go for it but not really value for money phone or as you expect a POCO phone.READ MORE"
4,Although it is a alrounder 5G phone in specs but the camera quality didn't satisfied me even not a decent 64 MP sensor peromance slow down due to the processor battery life is better and with 67 vault its a nice combination and the best part of the phone is its display i liked the display very much because its has 1200 nits peak brightness with 120htz refresh rate and 360 touch sampling its a best super amoled dispaly phone you can go for this if you can compromise with camera otherwise if wa...READ MORE
4,Camera is fine.. But gamer it's little in comfortable because of head set 3.5 jack given top of the phone so while playing it distrub. Wireless is fine. Battery average. Display good in 120 hetz.READ MORE
5,"Camera is not as great as poco x3 pro, but it is great, selfie cam is awesome. Battery is very good, and charge is super fast. All over great buyREAD MORE"
5,Poco has made its hard phone camera quality is awesome . Yellow color phone super it's shinning back . I played bmi game it worked very well . The charging . It ccharges in just 40 minutes . Awesome in this price you can buy this. The dual stereo speakers hearing music and watching movies is super.READ MORE
3,"Lagging on very normal usage. 👎Video recording support only 1080p on 30fps in this price segment this is very bad.Display is very good. Battery and charging speed also good .Pubg graphics support on ultra in Smooth and high on hd in this price segment that worst. Performance also not good 👎Camera was not bad just okok Only good thing is that display , battery and 5g connectivity.READ MORE"
5,"The phone is value for money.The display is in league above the rest in this range.Processor is also good for the price range.2 seperate speakers and it gets loud and clear no distortion at high volume.Charging time is great even when compared to flagship phones.The only con for the phone is camera. It's really low quality even in this range.If your not into photography this is the best phone in the range, but if you prioritise camera this phone is not for you.READ MORE"
4,"Received the phone today. Thanks to Flipkart was super fast delivery. Ordered the yellow colour for my mom because it appeared classy. Inside the box, we had the phone, adaptor, case and original bill.  Well, i have two things to say. Yes, the handset actually looks good to the eyes and feels premium in hand. Battery is very good. I could see the phone charging up to 100% within 30 minutes and i used the phone throughout the day and it's still on 51%. Camera is Decent enough to make you cap...READ MORE"
4,"Phone's best part is its  body finish,stereo speakers and display...Phone fails to keep its promise of 60w fast charging,on average it takes one hour plus to charge upto 100 percent.Camera is average.Needs software fixes..Phone has two gigs of extended ram or virtual ram that makes it 8 gb ram too at the same time...Go for 128gb as 30 gigs is kept reserved by phones and softwares.Phone is not a bad deal,we can't have everything in our dish.So not disappointed with it as overall but it feel ba...READ MORE"
5,"Guys this is the best true amoled display other makers are fooling people's telling amoled but this is real amoled colors are punchy and display is bright enough just go for this multimedia, gaming purpose it's a treat... I never posted reviews in my life this is the first time.. Touch responsive is super... But one thing go for 128gb variant instead of 64 because os took 20gb remaining only 40 gb available. Thank youREAD MORE"
4,"These are my obsv after using this device for almost one week now.First impressions the device looks superb and premium. Some might like the boxy design while some may not, but the glass back and cam module makes it look good.display- awesome quality amoled display with 120hz ref rate. The colours are punchy and vibrant. But the 120 hz panel is not fully optimised and lags many times under normal usage.Note- doesn't support HDR video playback.Battery and (67W) charging- 10/10 no issues ...READ MORE"
5,I have to say this phone is very good I love it this phone did not lag but buy only the 128gb that will be really good and I want to ask some YouTubeer that thay said that this phone lag I don't see it and for gaming this phone is born from gaming you will find some problems in BGMI but in all the other games this phone works best . And yes the camara is good 👍 but not that good but I still love it 💕💕 I will suggest you to buy it but it is all your choiceREAD MORE
3,"Camera is very bad , even a 12000 phone has a better camera tha this device  4k is not supported  for multimedia not even in  video recording thats the downgrade  Pros:-.   Battery is good  Fast charging is fine  Display is niceREAD MORE"
4,Very Good performance. Average camera quality. Outstanding battery backup and 67 watt charger is awesome. Gaming smoothly. 120hz AMOLED display with dual sterio speaker fully entertainment your movie. Everything is wonderful except camera should be improve by update. Thank you🙏READ MORE
4,"ProsBatttery is really good u can use for 8-9 hoursCharging is also very fastDisplay is very good you can clearly see the screen in sunlightCamera is good , but it is not good in portrait modeOtherwise it's fineGame, I have played only vector and it didn't struckCons:The worst thing is hotstar videos stutters in the phone (in my last phone it didn't happen itwas reds mi note 5)  U can't watch 4k videos or record itREAD MORE"
5,"I have been useing this device for 20 days....the design was awesome ...... Great Performance .....camera is great .... battery performance excellent.....  display is good ....this price range it's awesome,fabulous device.READ MORE"
5,Stunning looks and performance was good decent sound quality only one con please improve cam optionsREAD MORE
4,"Camera is average, Good Performance , Very good speaker with dolby atmos.Fast charging feature is very useful🔋⚡ (within 45 minutes full charge), and look wise yeah it's better. Value for money.READ MORE"
5,It is the best phone at this price It's value for moneyThe display is amazing andIt's camera is quite goodIt's haptic feedback is goodOver all I love this phoneREAD MORE
4,Very Good performance. Average camera quality. Outstanding battery backup and 67 watt charger is awesome. Gaming smoothly. 120hz AMOLED display with dual sterio speaker fully entertainment your movie. Everything is wonderful except camera should be improve by update. Thank you🙏READ MORE
4,I am reviewing after 15 days of usageAnd this was the best smartphone under 20000 compare to others.Pros : Good perfomanceAwesome display with 120 hz refresh rateGood battery backup 67 watts fast charging it's charge 0 to 100% under 45-50 minutesGood design & good speakersCons : Camera is average & the vibration is very lightSome bugs are there so this are the pros & consREAD MORE
4,"If you are searching for all rounder phone then go for it. I am giving the review after using for a week. Pros-Looks is just awesome. Samoled touch is like a butter. 120hz refresh rate does its work well, can be changed to 60hz when travelling as 120hz refresh rate consume battery. Gaming experience is just awesome, played battleground without any lagging. Overall charge goes for 1 day without heavy use and with heavy use half day. Cons-Camera quality is almost same like redmi note ...READ MORE"
4,"After 15 days of usage I am writing this review1. excellent battery backup, I am only normal user I won't play games, only phone calls and watching videos. battery is draing only 50%, battery back up is more than 42 hrs for my usage2.camera is also very good, for this price it is not upto the mark but quality is good3. dispaly.  no need to tell about display excellent 4. sound and speakers. after using my phone for 15days I found sound quality is not good,especially for incoming calls sou...READ MORE"
5,This phone  gives nearly all- features 8n a good tight budgetAlthough I am not happy with the camera of the phone the picture needed to be more clean thoughAndi I don't know why but it only give antutu score of 2.7-2.8 lakhs.  ( But 695 is good processor so it should have give atleast 3.7-4.1 lakhs)READ MORE
